3070,9866
3056,9826
3056,9741
2844,9851
2920,9544
3034,9422
2723,9814
3546,8126
3491,8196
3553,8103
3548,8086
3558,8081
3566,8050
3625,8169
3484,8239
3089,8914
3258,9731
3275,9734
3240,9739
3359,8864
2606,9719
3551,8308
3258,9521
3328,8476
3549,8300
3336,8480
3345,8444
3401,8525
3638,8702
3368,8471
3384,8466
3319,8474
3319,8474
3639,8627
3408,8466
3413,8474
3486,8431
3273,9396
3409,8451
3278,9373
3578,8434
3294,9725
3583,8608
3558,8425
3275,9330
3245,9358
3196,9400
3276,9730
3290,9344
3281,9691
3196,9406
3384,8421
3266,9691
3393,8421
3394,8433
3240,9790
3240,9680
3393,8421
3247,9693
3236,9784
3228,9780
3375,8450
3240,9684
3233,9663
3226,9669
3175,9563
3161,9558
3311,9425
3267,9486
3275,9734
3261,9479
3290,9455
3564,8813
3176,9633
3163,9536
3286,9449
3258,9483
3275,9734
3194,9528
3273,9711
3171,9616
3253,9483
3601,8796
3171,9616
3249,9456
3168,9506
3179,9522
3243,9447
3249,9516
3271,9493
3640,8764
3228,9381
3293,9644
3215,9511
3213,9493
3168,9758
3044,9476
3036,9588
3038,9608
3014,9544
3048,9660
3016,9639
3008,9541
3654,8627
3016,9639
3009,9608
2989,9648
3631,8776
2983,9544
2986,9655
3653,8757
2998,9686
3075,9566
2983,9780
2978,9783
3114,9631
2945,9850
2946,9838
3300,9866
3366,9909
3321,9822
3361,9869
3378,9880
3276,9798
3364,9878
3394,9866
3378,9880
3409,9856
4878,9693
3336,9568
3416,9800
4641,11701
3416,9726
4641,11701
3476,9666
3461,9633
3493,9576
3486,9664
3441,9604
3121,9703
3121,9703
3458,9628
3121,9678
3111,9672
4845,9686
3587,9589
3249,9211
4873,9666
4858,9651
4873,9666
3625,9594
4878,9601
3625,9594
4756,9834
4862,9588
4890,9531
3575,9536
3554,9564
4768,9798
3568,9564
4768,9798
4789,9736
3563,9547
4423,10338
4424,10308
3625,9594
3631,9576
4761,9966
3625,9594
3598,9609
3625,9594
4866,9814
4817,9895
4791,9902
3640,9544
4828,9886
4809,9884
4841,9857
3625,9594
3600,9609
4213,10434
4191,10403
4194,10380
4186,10364
4196,10364
4179,10350
4231,10340
4188,10288
4188,10231
4216,10197
4229,10169
4205,10120
4446,7200
4568,8714
4571,8730
4343,10348
4337,10340
4341,10225
4313,10236
4104,10262
4228,10244
4278,10169
4316,10174
4109,10246
4434,9821
4364,9964
4484,9590
4478,9580
4122,10159
4468,9593
4079,10163
4116,10129
4056,10179
4033,10171
4494,9503
4498,9483
4588,9361
4513,9453
4540,9380
4080,9919
4102,9967
4111,9843
4076,9845
